route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Kedgley Intermediate To Puhinui,3,,NZBWP,00154-20160729161628_v43.23,,001
Midtown To Windy Ridge,3,,BTL,95302-20160729161628_v43.23,,953
Otahuhu To New Lynn,3,,UE,00803-20160729161628_v43.23,,008
Onehunga To Manukau Via Airport,3,,ATAPT,38004-20160803113210_v43.25,,380
Remuera Schools To Mt Roskill,3,,NZBML,03154-20160729161628_v43.23,,031
Sylvia Park To New Lynn (No Stop On Donavon St By Countdown),3,,UE,00903-20160729161628_v43.23,,009
Drury To Remuera Schools,3,,NZBWP,05055-20160803113210_v43.25,,050
City Centre To Westgate via Waimumu Road,3,,RTH,07002-20160803113210_v43.25,,070
City Link To Wynyard Quarter Via Greys Ave,3,,NZBML,79702-20160729161628_v43.23,,CTY
Kingsway School To Torbay,3,,BAYES,00962-20160729161628_v43.23,,009
Rosebank Rd To Midtown Express,3,,NZBGW,22103-20160803113210_v43.25,,221X
Britomart To Westmere Express,3,,NZBML,02004-20160803113210_v43.25,,020X
Blockhouse Bay To New Lynn Via Green Bay (U),3,,UE,19504-20160729161628_v43.23,,195
Rosmini College To Verrans Corner,3,,BTL,03356-20160803113210_v43.25,,033
Sandringham To Midtown Limited Stop Express,3,,NZBML,24001-20160803113210_v43.25,,240
City Centre To Papatoetoe Via Onehunga And Mangere,3,,NZBWP,52301-20160729161628_v43.23,,N31
Otahuhu To Manukau City Centre Via Flat Bush,3,,NZBWP,45704-20160729161628_v43.23,,457
Northcross Intermediate To Torbay,3,,NZBNS,06352-20160803113210_v43.25,,063
"HC Station to Albany Station via Dairy Flat Highway, Massey",3,,NZBNS,98601-20160729161628_v43.23,,986
Brightside Rd To Orewa College,3,,BAYES,00755-20160729161628_v43.23,,007
Salisbury Rd To Westlake Schools,3,,BTL,00761-20160803113210_v43.25,,007
Eastridge To St Heliers Via Mission Bay,3,,NZBML,77106-20160803113210_v43.25,,771
Britomart To Glen Innes And Glendowie College Via Remuera Rd,3,,NZBML,62504-20160729161628_v43.23,,625
City Centre To Papakura Via Great South Rd (S),3,,NZBWP,52409-20160729161628_v43.23,,N47
Kingsland Train Station to Britomart Train Station,2,,AM,10023-20160803113210_v43.25,,WEST
Midtown To Constellation Station,3,,BTL,95802-20160803113210_v43.25,,958
Pakuranga Plaza To Onehunga Via Penrose,3,,HE,35801-20160729161628_v43.23,,358
Mt Roskill To Civic Centre Via Flyover,3,,NZBML,26705-20160729161628_v43.23,,267
Howick College To Kilkenny Dr,3,,HE,30952-20160729161628_v43.23,,309
Onehunga Train Station to Britomart Train Station,2,,AM,40013-20160729161628_v43.23,,ONE
City Centre To Whenuapai,3,,RTH,09502-20160803113210_v43.25,,095
Auckland Girls Grammar To Southmall,3,,NZBWP,06054-20160729161628_v43.23,,060
Pt Chevalier To St Heliers,3,,NZBML,00710-20160729161628_v43.23,,007
City Centre To Henderson Express Via Glendene,3,,NZBGW,11012-20160729161628_v43.23,,11X
Remuera Schools To New Lynn Via Titirangi,3,,RTH,00658-20160729161628_v43.23,,006
Wattle Downs To East Tamaki Via Wiri And Manukau City Centre,3,,HE,56602-20160729161628_v43.23,,566
